NAME,B25104_001E,B25104_002E,B25104_003E,B25104_004E,B25104_005E,B25104_006E,B25104_007E,B25104_008E,B25104_009E,B25104_010E,B25104_011E,B25104_012E,B25104_013E,B25104_014E,B25104_015E,B25104_016E,B25104_017E,state,county,tract
"Census Tract 405.10, Clark County, Washington",1971.0,0.0,18.0,0.0,11.0,43.0,51.0,106.0,59.0,164.0,9.0,118.0,368.0,245.0,394.0,374.0,11.0,53,011,040510
"Census Tract 405.11, Clark County, Washington",786.0,0.0,0.0,7.0,6.0,12.0,16.0,40.0,24.0,13.0,38.0,96.0,102.0,118.0,162.0,138.0,14.0,53,011,040511
"Census Tract 405.12, Clark County, Washington",809.0,0.0,0.0,5.0,0.0,0.0,25.0,72.0,18.0,26.0,5.0,42.0,266.0,127.0,195.0,28.0,0.0,53,011,040512
"Census Tract 405.13, Clark County, Washington",1505.0,0.0,0.0,0.0,22.0,55.0,54.0,110.0,71.0,58.0,0.0,138.0,393.0,223.0,326.0,55.0,0.0,53,011,040513
"Census Tract 406.03, Clark County, Washington",1622.0,0.0,12.0,35.0,106.0,76.0,58.0,78.0,65.0,72.0,105.0,205.0,109.0,271.0,173.0,257.0,0.0,53,011,040603
"Census Tract 406.04, Clark County, Washington",2151.0,19.0,0.0,0.0,37.0,50.0,31.0,66.0,86.0,50.0,53.0,237.0,688.0,339.0,222.0,267.0,6.0,53,011,040604
"Census Tract 406.05, Clark County, Washington",2355.0,28.0,36.0,12.0,88.0,5.0,62.0,172.0,31.0,84.0,26.0,594.0,328.0,322.0,338.0,200.0,29.0,53,011,040605
"Census Tract 406.08, Clark County, Washington",1702.0,0.0,0.0,0.0,8.0,12.0,40.0,48.0,33.0,60.0,41.0,171.0,394.0,264.0,174.0,420.0,37.0,53,011,040608
"Census Tract 406.09, Clark County, Washington",1746.0,0.0,0.0,11.0,0.0,20.0,53.0,23.0,30.0,41.0,63.0,197.0,138.0,272.0,388.0,503.0,7.0,53,011,040609
"Census Tract 406.10, Clark County, Washington",1258.0,0.0,13.0,0.0,0.0,11.0,12.0,49.0,46.0,54.0,53.0,103.0,168.0,233.0,191.0,325.0,0.0,53,011,040610
